,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Account Key,Account Name,  Site Key,  Site Name,  Address Line 1,  Address Line 2,  City,  PostCode,Contract Detail Number,Location DESC,Container Container Code,Container DESC,Bin Size,EWC Code,EWC Product Group,Conveyance Note Number,Mode DESC,Serviced,Costs,Total Weight (Tonnes),Recycling,Costs,General Waste (RDF),Costs,Food,Costs,Glass,Costs,Baled Card,Costs,Containers Quantity
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*17,UNIVERSITY OF EDINBURGH,15 SOUTH COLLEGE STREET,"""PRODUCTION KITCHEN""",EDINBURGH,EH8 9AA,1642065*17*01422699,EDINBURGH DEPOT,01422699,LOOSE CARDBOARD,1.1,150101,Mixed Recycling,004*416108,RECYCLING TRADE WASTE,23/11/2015 00:00:00,£1.58,0.077,0.077,£1.58,,,,,,,,,1
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*17,UNIVERSITY OF EDINBURGH,15 SOUTH COLLEGE STREET,"""PRODUCTION KITCHEN""",EDINBURGH,EH8 9AA,1642065*17*01422699,EDINBURGH DEPOT,01422699,LOOSE CARDBOARD,1.1,150101,Mixed Recycling,004*420430,RECYCLING TRADE WASTE,25/11/2015 00:00:00,£1.58,0.077,0.077,£1.58,,,,,,,,,1
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*17,UNIVERSITY OF EDINBURGH,15 SOUTH COLLEGE STREET,"""PRODUCTION KITCHEN""",EDINBURGH,EH8 9AA,1642065*17*01422699,EDINBURGH DEPOT,01422699,LOOSE CARDBOARD,1.1,150101,Mixed Recycling,004*424512,RECYCLING TRADE WASTE,27/11/2015 00:00:00,£1.58,0.077,0.077,£1.58,,,,,,,,,1
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*17,UNIVERSITY OF EDINBURGH,15 SOUTH COLLEGE STREET,"""PRODUCTION KITCHEN""",EDINBURGH,EH8 9AA,1642065*17*01422699,EDINBURGH DEPOT,01422699,LOOSE CARDBOARD,1.1,150101,Mixed Recycling,004*426140,RECYCLING TRADE WASTE,30/11/2015 00:00:00,£0.79,0.000,0.000,£0.79,,,,,,,,,1
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*17,UNIVERSITY OF EDINBURGH,15 SOUTH COLLEGE STREET,"""PRODUCTION KITCHEN""",EDINBURGH,EH8 9AA,1642040*17*00403100,EDINBURGH DEPOT,00403100,660L WHEELIE BIN,0.66,150106,Mixed Recycling,004*416109,RECYCLING TRADE WASTE,23/11/2015 00:00:00,£3.86,0.010,0.010,£3.86,,,,,,,,,1
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*17,UNIVERSITY OF EDINBURGH,15 SOUTH COLLEGE STREET,"""PRODUCTION KITCHEN""",EDINBURGH,EH8 9AA,1642040*17*00403100,EDINBURGH DEPOT,00403100,660L WHEELIE BIN,0.66,150106,Mixed Recycling,004*420675,FLATBED,02/12/2015 00:00:00,£1.93,0.000,0.000,£1.93,,,,,,,,,1
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*17,UNIVERSITY OF EDINBURGH,15 SOUTH COLLEGE STREET,"""PRODUCTION KITCHEN""",EDINBURGH,EH8 9AA,1642040*17*00403100,EDINBURGH DEPOT,00403100,660L WHEELIE BIN,0.66,150106,Mixed Recycling,004*421826,RECYCLING TRADE WASTE,26/11/2015 00:00:00,£3.86,0.014,0.014,£3.86,,,,,,,,,1
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*17,UNIVERSITY OF EDINBURGH,15 SOUTH COLLEGE STREET,"""PRODUCTION KITCHEN""",EDINBURGH,EH8 9AA,1642040*17*00403100,EDINBURGH DEPOT,00403100,660L WHEELIE BIN,0.66,150106,Mixed Recycling,004*435257,FLATBED,04/12/2015 00:00:00,£3.86,0.021,0.021,£3.86,,,,,,,,,1
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*17,UNIVERSITY OF EDINBURGH,15 SOUTH COLLEGE STREET,"""PRODUCTION KITCHEN""",EDINBURGH,EH8 9AA,1642716*17*00501810,DEPOT ACCOUNTS SUB CON,00501810,240L WHEELIE BIN,0.24,200108,Organic,295*494787,SUB CON OTHER,30/11/2015 00:00:00,£8.96,0.040,,,,,0.040,£8.96,,,,,1
,U13470,UNIVERSITY OF EDINBURGH,U13470*1*17,UNIVERSITY OF EDINBURGH,15 SOUTH COLLEGE STREET,"""PRODUCTION KITCHEN""",EDINBURGH,EH8 9AA,1642716*17*00501810,DEPOT ACCOUNTS SUB CON,00501810,240L WHEELIE BIN,0.24,200108,Organic,295*D461208,SUB CON OTHER,23/11/2015 00:00:00,£8.96,0.040,,,,,0.040,£8.96,,,,,1
